municipio,num,nome,partidocoligacao,votacao,validos,state,segundo_turno
FOZ DO JORDÃO,55,ANSELMO,PSD/PSD / PP / PMB / PEN / PSL / DEM / PMDB,1734,49.22%,Paraná,false
FRANCISCO ALVES,45,ALIRIO,PSDB/PSDB / PSB / PP / PSC / PTB / PPS / PDT,3773,85.93%,Paraná,false
FRANCISCO BELTRÃO,45,CLEBER FONTANA,PSDB/PP / PSC / PMN / PSDB / PSD,25585,53.4%,Paraná,false
GENERAL CARNEIRO,55,GAÚCHO,PSD/PDT / PMDB / PSC / PR / PPS / PMN / PRP / PSD / PT,5071,65.3%,Paraná,false
GODOY MOREIRA,45,ZEZINHO DO BANCO,PSDB/PTB / PSDB / PSD / PSC,1451,1%,Paraná,false
GOIOERÊ,23,PEDRO COELHO,PPS/PPS / PP / PT / PRTB / PMN / PSDB / PR,11096,65.49%,Paraná,false
GOIOXIM,15,PROFª MARI CECCHIN,PMDB/PMDB / PHS / PDT / PT / PTN / PR,2408,50.6%,Paraná,false
GRANDES RIOS,11,TONINHO SANTIAGO,PP/PMDB / PP / PSL / PTB / PTN,2328,54.27%,Paraná,false
GUAÍRA,25,HERALDO TRENTO,DEM/PDT / PMDB / REDE / PSC / PR / DEM / PMN / PSDB / PSD / PEN / PROS / PPS,8310,50.32%,Paraná,false
GUAIRAÇÁ,23,ELSON GREB,PPS/PP / PMDB / PTN / PPS / PROS,2668,62.03%,Paraná,false
GUAMIRANGA,15,ANGELO MACHADO,PMDB/PTB / PMDB / REDE,2537,46.22%,Paraná,false
GUAPIRAMA,15,PEDRO BANZE,PMDB/PMDB / PV / PDT / PTB / PSB,1748,53.69%,Paraná,false
GUAPOREMA,12,MARCÃO BARRANCO,PDT/PDT / PT / PTB / PSL / PR / DEM / PSB / PV / PSDB / PSD,1107,64.7%,Paraná,false
GUARACI,23,JOSÉ CARLOS TOLOI,PPS/PDT / PPS / DEM / PSDB / PTB,2000,52.27%,Paraná,false
GUARANIAÇU,12,OSMARIO PORTELA,PDT/PDT / PSDB / PP / PPS / PMB / PROS / PMN,3018,31.6%,Paraná,false
GUARAPUAVA,23,CESAR SILVESTRI FILHO,PPS/PPS / PDT / PROS / PMB / PSC / PR / PSD / PHS / PMN / PSDC / PRB / PSL / PRP / PSB / PTB / PV / PMDB,57969,60.07%,Paraná,false
GUARAQUEÇABA,15,ARIAD,PMDB/PMDB / PSD / PTB / PV / PRTB / PROS,3280,52.8%,Paraná,false
GUARATUBA,25,ROBERTO JUSTUS,DEM/PP / PTB / PSC / PR / DEM / PSDC / PMB / PSDB / PEN / SD / PROS,7400,49.18%,Paraná,false
HONÓRIO SERPA,15,LUCIANO DIAS,PMDB/PMDB / PT,1983,53.7%,Paraná,false
IBAITI,15,DR. ANTONELY,PMDB/PMDB / PTB / PSD / PSDB / PSC / PSL / PTN / PT do B / DEM / PROS / PSB / PMN / PPS,8595,51.94%,Paraná,false
IBEMA,43,LUIZ PEREIRA,PV/PV / PEN / PR / PTB / PMN,1076,46%,Paraná,false
IBIPORÃ,15,JOÃO COLONIEZI,PMDB/PP / PTB / PSL / PPS / PSB / PRP / PSDB / SD / PROS / PMDB,16273,57.91%,Paraná,false
ICARAÍMA,12,MARCOS ALEX,PDT/PDT / PMDB / PTC / PTN / PHS,3573,61.81%,Paraná,false
IGUARAÇU,45,NELINHO,PSDB/PSDB / PRP / PP / PROS / PTB / PSC / PTN / SD,1672,1%,Paraná,false
IGUATU,55,BARELLA,PSD/PSD / PP / PSL / PMN / SD,979,52.38%,Paraná,false
IMBAÚ,90,LAUZINHO,PROS/PT / PROS / PP / PMN / PMB,3492,52.03%,Paraná,false
IMBITUVA,55,BERTOLDO ROVER,PSD/PP / PT / PMDB / PSC / DEM / PROS / PHS / SD / PSD / PTB / PMB,11595,93.87%,Paraná,false
INÁCIO MARTINS,55,JUNIOR BENATO,PSD/PT / PMDB / PTN / PR / DEM / PSB / PSD,4359,63.23%,Paraná,false
INAJÁ,10,DR. EDUARDO,PRB/PRB / PMDB / PSDB / PSD,1225,51.36%,Paraná,false
INDIANÓPOLIS,45,PAULINHO MINEIRO,PSDB/PSDB / PSD,1842,56.5%,Paraná,false
IPIRANGA,20,LUIZ BLUM,PSC/PP / PDT / PMDB / PTN / PSC / PPS / DEM / PSB / PV / PSDB / PSD / PHS / PTC,5152,58.18%,Paraná,false
IPORÃ,45,ROBERTINHO,PSDB/PRB / PT / PTB / PMDB / PSL / PTN / PPS / PRTB / PHS / PSDB / PSD / PV / PTC / PRP,7440,78.07%,Paraná,false
IRACEMA DO OESTE,15,DONIZETE LEMOS,PMDB/PMDB / PR / PPS / PSD / SD,1430,64.62%,Paraná,false
IRATI,45,JORGE DERBLI,PSDB/PSDB / PSD / PSC / PSB / PR,18065,52.46%,Paraná,false
IRETAMA,11,WILSON BRATAC,PP/PP / PSD,2632,39.88%,Paraná,false
ITAGUAJÉ,14,JUNINHO,PTB/PTB / PT / PP / PSC / PSL / PV / SD,2558,1%,Paraná,false
ITAIPULÂNDIA,12,GASPARINI,PDT/PRB / PDT / PT / PMDB / PPS / PSDC / PMN / PMB / PSB / PROS / PEN,3976,1%,Paraná,false
ITAMBARACÁ,12,CARLINHOS,PDT/PDT / PTB / PMDB / PR / PPS / PSB / PSDB / PSD,2602,59.57%,Paraná,false
ITAMBÉ,25,VITÃO,DEM/DEM / PMN / PDT / PMDB / PTN / PSDB / PSB / PSD,2560,61.49%,Paraná,false
ITAPEJARA D'OESTE,11,AGILBERTO PERIN,PP/PP / PTB / PSL / PPS / DEM,4102,52.48%,Paraná,false
ITAPERUÇU,55,HELIO GUIMARAES,PSD/PSD / PEN / PT do B / PSDB,7882,47.68%,Paraná,false
ITAÚNA DO SUL,15,MARCELO DA FACÇÃO,PMDB/PMDB / PSDB / SD,1215,48.68%,Paraná,false
IVAÍ,45,IDIR TREVISO,PSDB/PTB / PMDB / PSC / PR / PPS / PSDB / SD,4202,47.73%,Paraná,false
IVAIPORÃ,45,MIGUEL AMARAL,PSDB/PSDB / PTB / PSC / PHS / PP / PSB / PV / PROS,11813,63.68%,Paraná,false
IVATÉ,20,NIVALDO DO MERCADO,PSC/PT / PSC / PROS / PP,2821,57.36%,Paraná,false
IVATUBA,55,DR. ROBSON,PSD/PP / PSC / PSD / PRP,974,47.7%,Paraná,false
JABOTI,45,LEI DA LICA,PSDB/PSDB / PSC / DEM,1909,52.72%,Paraná,false
JACAREZINHO,25,DR SERGIO,DEM/PRB / PDT / PTB / PSL / PPS / DEM / PSDB / PROS,11833,50.31%,Paraná,false
JAGUAPITÃ,45,CIRÃO,PSDB/PSDB / PR / PSB / PTB / DEM / PV,4478,55.05%,Paraná,false
JANDAIA DO SUL,20,DITAO PUPIO,PSC/PTB / PT / PSC / PR / PPS / DEM / PV / PEN / PDT / PSDC,7000,55.1%,Paraná,false
JANIÓPOLIS,40,DR HEITOR,PSB/PSB / PPS / PSC / PSDB / PV / PSD / PP / PTB / PDT / DEM,4034,1%,Paraná,false
JAPIRA,25,WALMIR,DEM/DEM / PTN,2008,1%,Paraná,false
JAPURÁ,40,ORLANDO FRAZATTO,PSB/PSD / PDT / DEM / PSB / PSC / PP / PPS / PMN / PV,3385,58.38%,Paraná,false
JARDIM ALEGRE,23,FURLAN,PPS/PPS,5303,74.06%,Paraná,false
JARDIM OLINDA,11,PROFESSORA LUCIMAR,PP/PP / PSC / PSDB,616,50.45%,Paraná,false
JATAIZINHO,20,DIRCEU URBANO,PSC/PSC / PSD / PSDB / PTB / PC do B / PR / PRB / PPS / PHS / PP / DEM,4329,55.31%,Paraná,false
JESUÍTAS,15,JUNIOR WEILLER,PMDB/PMDB / PSL / PSC / PPS / PMB / PSDB / PSD / PROS,3302,52.87%,Paraná,false
JOAQUIM TÁVORA,45,GELSON MANSUR NASSAR,PSDB/PSDB / PDT / PTB / DEM / PSL / PSB,5519,82.76%,Paraná,false
JUNDIAÍ DO SUL,25,ECLAIR,DEM/PP / PDT / PMDB / DEM / PHS / PSDB / PSD / SD / PROS,1476,64.4%,Paraná,false
JURANDA,55,LEILA AMADEI,PSD/DEM / PP / PDT / PMDB / PSC / PPS / PSD / PT,2728,53.42%,Paraná,false
JUSSARA,45,TATINHA,PSDB/PR / PSDB / PMN / PMDB / DEM / PSC / PSD / SD,2664,55.09%,Paraná,false
KALORÉ,45,WASHINGTON,PSDB/PSDB / PSD / PSB / PSC / PR / DEM / PDT / PTB,1918,61.24%,Paraná,false
LAPA,15,PAULO FURIATI,PMDB/PMDB / PDT / PPS / PR / PROS / PSB,13372,47.76%,Paraná,false
LARANJAL,17,JOSMAR,PSL/PSL / PMDB / PPS / PHS / PDT / PTB / PT / PSDB / PP,2175,53.14%,Paraná,false
LARANJEIRAS DO SUL,20,BERTO SILVA,PSC/PSC / PMDB / PSD / PEN / PTB / PRP / PHS / PSL / PROS / PC do B / PMB / PP / PMN / PSDB / PTN / PSB,10180,54.32%,Paraná,false
LEÓPOLIS,55,SANDRINHO,PSD/PSD / PSC / PDT / PROS / DEM / PMDB / PSDB,1696,54.82%,Paraná,false
LIDIANÓPOLIS,31,ADAUTO MANDU,PHS/PHS / PTB / PDT / PTN / PT,1458,50.21%,Paraná,false
LINDOESTE,22,ZEZINHO,PR/PPL / PR / PPS / PSDB / SD / PV / PTN / PSB,2198,55.21%,Paraná,false
LOANDA,77,SARGENTO SANTOS,SD/SD,4942,40.74%,Paraná,false
LOBATO,15,TÂNIA,PMDB/PSC / PPS / PROS / PTB / PMDB / PT / PDT / PP / PSD,1732,51.2%,Paraná,false
LONDRINA,11,MARCELO BELINATI,PP/PP / PTB / PSL / PMDB / PRP / PRTB / PMB / PROS / PR,136360,51.57%,Paraná,false
LUIZIANA,12,MAURO SLONGO,PDT/PDT / PSDB / PEN / PP / PSB / PSD / PSL / PT / PTB,2514,51.26%,Paraná,false
LUNARDELLI,14,REINALDO GROLA,PTB/PTB / PMDB / PSD / PRP / PPS,2651,74.61%,Paraná,false
LUPIONÓPOLIS,12,ZÉ ANTÔNIO,PDT/PTB / PSC / PR / DEM / PSB / PDT / PT do B / PSL,2052,58.36%,Paraná,false
MALLET,20,MOACIR NUTRIMALLET,PSC/PDT / PSC / PPS,3056,36.03%,Paraná,false
MAMBORÊ,55,RICARDO RADOMSKI,PSD/PDT / PT / PSC / DEM / PSB / PSDB / PEN / PSD / PTB / PSL,4566,50.43%,Paraná,false
MANDAGUAÇU,40,PROFESSOR INDIO,PSB/PSB / PDT / PHS,6566,51.41%,Paraná,false
MANDAGUARI,12,BATISTÃO,PDT/PDT / PMDB / PSL / DEM / PSC / PT / PTN / PV / PMN / PSB / PROS / PTB,10418,51.69%,Paraná,false
MANDIRITUBA,20,LUIS ANTONIO DO POSTO NUELE,PSC/PSC / PPL / SD / PR / PT / PTN,5523,37.18%,Paraná,false
MANFRINÓPOLIS,43,CAETANO,PV/PP / PT / PMDB / PV / PSDB,1378,50%,Paraná,false
MANGUEIRINHA,45,ELIDIO,PSDB/PRB / PP / PMDB / PSL / REDE / PTN / PPS / PHS / PSDB / PPL / PC do B,6622,1%,Paraná,false
MANOEL RIBAS,22,BETE CAMILO,PR/PR / PSDB / PDT / PTB / PSL / PRTB / PV / PSB / PPS / PT,3858,44.62%,Paraná,false
MARECHAL CÂNDIDO RONDON,25,PROFESSOR MARCIO RAUBER,DEM/DEM / PRB / PTB / PSC / PSB / PSDB / PSD,16682,55.23%,Paraná,false
MARIA HELENA,20,DR. ELIAS,PSC/PDT / PTB / DEM / PR / PSC,2865,70.79%,Paraná,false
MARIALVA,11,VICTOR MARTINI,PP/PP / PMDB / PTB / PDT / PRP / SD / PV,10211,69.92%,Paraná,false
MARILÂNDIA DO SUL,43,AQUILES,PV/PV / PP / PSB / PTC / PSDB,3302,57.08%,Paraná,false
MARILENA,11,ZÉ DO PEIXE,PP/PP / PTB / PSL / PTN / PR / SD,2894,58.19%,Paraná,false
MARILUZ,20,NILSON CARDOSO,PSC/PSC / PT / PPS / PT do B / PEN / PMN,3868,58.93%,Paraná,false
MARINGÁ,11,SILVIO BARROS,PP/PP / PRB / PMDB / PSDB / PHS / PTB / PR / PPS / PTC / PRTB / PMN / PSDC / PSL / SD / PRP,77196,39.69%,Paraná,true
MARINGÁ,12,ULISSES MAIA,PDT/PDT / PV / PEN / PPL,56156,28.87%,Paraná,true
MARIÓPOLIS,12,NEURI,PDT/PDT / PV,2428,51.58%,Paraná,false
MARIPÁ,23,ANDERSON BENTO MARIA,PPS/PPS / PP / PSDB / DEM / PDT / PMN / PSC / PSD / PTB,3091,72.1%,Paraná,false
MARMELEIRO,31,POLICIAL JAIMIR GOMES,PHS/PSC / PHS,5699,63.7%,Paraná,false
MARQUINHO,45,ZINHO,PSDB/PP / PTB / PSC / PPS / DEM / PSB / PSDB / PSD,2033,63.77%,Paraná,false
MARUMBI,15,ADHEMAR REJANI,PMDB/PMDB / PT / PSC / SD / DEM,2055,61.71%,Paraná,false
MATELÂNDIA,11,TEIXERINHA,PP/PP / PSC / PSDB / PSD / PSL / PMN / PDT / DEM / PPS / PR / PT,6151,61.42%,Paraná,false
MATINHOS,22,RUY HAUER,PR/PR / PROS / PSDC / PTC / PSDB / PSC / PPS / PDT / PSD / PTB / SD / PC do B,10904,53.92%,Paraná,false
MATO RICO,11,MARCEL,PP/PP / PMDB / PDT / PTB / DEM / PHS / PSDB,1674,60.61%,Paraná,false
MAUÁ DA SERRA,14,HERMES WICTHOFF,PTB/PTB / PP / PDT / PMDB / PSL / PR / DEM / PMN / PRTB / PV / PSDB / PT do B,3097,94.13%,Paraná,false
MEDIANEIRA,45,RICARDO ENDRIGO,PSDB/PSDB / PMDB / PSB / PTN / PROS / PPS / PSL / PR / DEM / PP / PMN / PHS,14181,54.56%,Paraná,false
MERCEDES,15,CLECI,PMDB/PMDB / PT / PPS / PTB / PSC,2066,51.64%,Paraná,false
MIRADOR,11,RENATO,PP/PP / PDT / PR / PMDB / PSB,1368,68.99%,Paraná,false
MIRASELVA,45,CELSO,PSDB/PSDB / PTB / DEM / PPS / PP / PMDB / PSB / PSC,1350,1%,Paraná,false
MISSAL,11,MANECO,PP/PP / DEM / PSB / PSD / SD,3853,49.9%,Paraná,false
MOREIRA SALES,15,RAFAEL BOLACHA,PMDB/PP / PT / PMDB / PPS / DEM / PSB / PSDB,3886,1%,Paraná,false
MORRETES,15,MARAJÁ,PMDB/PMDB / PT / PR / PHS / PMN / PMB / PV / PEN / PC do B / SD / PROS,5567,48.89%,Paraná,false
MUNHOZ DE MELO,15,GERA,PMDB/PDT / PMDB / DEM / PSDB / PSD / PSC,1623,52.95%,Paraná,false
NOSSA SENHORA DAS GRAÇAS,22,CHICO MARATTA,PR/PR / PT / PTB / PPS / PEN / PROS / PSDB,1257,43.83%,Paraná,false
NOVA ALIANÇA DO IVAÍ,11,ADIR SCHMITZ,PP/PP / PMDB / PSB / PDT / PSDB / DEM,750,53.96%,Paraná,false
NOVA AMÉRICA DA COLINA,55,JOÃO TRATOR,PSD/PSC / PPS / PEN / PSD,452,53.87%,Paraná,false
NOVA AURORA,15,PEDRO DA FARMACIA,PMDB/PMDB / PSL / PSD,3875,47.03%,Paraná,false
NOVA CANTU,25,ZÉ CARLOS,DEM/PP / PSL / PSC / PPS / DEM / PSD / PSB,2364,45.75%,Paraná,false
NOVA ESPERANÇA,23,MOACIR OLIVATTI,PPS/DEM / PPS / PSD / PP / PSDB / PTB / PROS / PR,7253,53.91%,Paraná,false
NOVA ESPERANÇA DO SUDOESTE,12,JAIR STANGE,PDT/PP / PDT / PT / PTB / PSC / DEM / PV / PSDB / PPS / PSD,2895,66.83%,Paraná,false
NOVA FÁTIMA,23,MARINHO DOS SANTOS,PPS/PPS / SD / PROS / PT do B / PEN / PSD / PSC,2149,1%,Paraná,false
NOVA LARANJEIRAS,13,EUGENIO,PT/PT / PDT / PR / PMDB,3298,52.27%,Paraná,false
NOVA LONDRINA,20,VICO,PSC/PSC / PT / PROS / PSDB / PSD / DEM / PDT / PR / PTB / PHS,5544,78.22%,Paraná,false
NOVA OLÍMPIA,45,JOÃO PACHECO,PSDB/PMDB / PSC / DEM / PSB / PSDB / PSD,2408,58.18%,Paraná,false
NOVA PRATA DO IGUAÇU,20,SASSÁ,PSC/PPS / PT / PMN / PV / PTN / DEM / PP / PPL / PR / PROS / PT do B / PSC,5270,69.99%,Paraná,false
NOVA SANTA BÁRBARA,25,ERIC KONDO,DEM/DEM / PTB / PPS / PDT,1710,58.68%,Paraná,false
NOVA SANTA ROSA,15,NORBERTO PINZ,PMDB/PMDB / PSD / PSC / PDT / PTB / PSL,3097,53.75%,Paraná,false
NOVA TEBAS,20,CLODOALDO,PSC/PSC / PHS / PRTB / PSDB / PROS / PRP / PDT / PTN / PV / PEN,2907,61.75%,Paraná,false
NOVO ITACOLOMI,55,MOACIR,PSD/PHS / PSD,1321,54.65%,Paraná,false
ORTIGUEIRA,23,LURDINHA,PPS/PP / PTB / PR / PPS / DEM / PTC / PSB / PV / PSDB / PSD,7983,54.57%,Paraná,false
OURIZONA,15,RODRIGO,PMDB/PP / PT / PMDB / DEM / PR / PSD / PROS,1652,63.15%,Paraná,false
OURO VERDE DO OESTE,25,PAVAN,DEM/DEM / PSDB / PP / PSC / PR / PPS / PSD,2257,58.14%,Paraná,false
PAIÇANDU,13,TARCISIO,PT/PT / PSC / PP / PTN / PSD / PC do B / PROS,12794,61.72%,Paraná,false
PALMAS,51,DR. KOSMOS,PEN/PEN / PV / PROS / PSL / REDE / PSB / PSD / PSC / PRB / DEM / PC do B,11558,51.21%,Paraná,false
PALMEIRA,20,EDIR HAVRECHAKI,PSC/PSC / PT / PSDB / PTB / PSB / PTN / PSL / PROS / PTC / PR / PMB / PPS,10459,53.97%,Paraná,false
PALMITAL,20,NEY,PSC/PT / PPS / PC do B / PR / PROS / PSC / PP / DEM / PRB / PTB / PHS / PTN / PEN,4775,53.48%,Paraná,false
PALOTINA,20,JUCENIR STENTZLER,PSC/PSC / PR / PTB / DEM / PMDB,12343,68.69%,Paraná,false
PARAÍSO DO NORTE,13,LAERCIO,PT/PT / PDT / PSB,3535,46.17%,Paraná,false
PARANACITY,11,SUELI WANDERBROOK,PP/PP / PSB / PSL / PMDB / PMN / PT / PDT,3710,58.57%,Paraná,false
PARANAGUÁ,43,MARCELO ROQUE,PV/PV / PMDB / PSB / PT do B / PEN / PSDC / PPS,32399,44.02%,Paraná,false
PARANAPOEMA,13,PROFESSORA LEU,PT/PT / PROS / PSD / PV,1123,57.53%,Paraná,false
PARANAVAÍ,45,DELEGADO CAIQUE,PSDB/PSDB / PSD / PV / PRTB / PHS / PSL / PTB / PRB / PSC / SD / PC do B,26576,58.05%,Paraná,false
PATO BRAGADO,15,MANO,PMDB/PMDB / PP / PT,2131,56.75%,Paraná,false
PATO BRANCO,12,AUGUSTINHO ZUCCHI,PDT/PDT / PP / PSL / PTN / PSC / PPS / DEM / PMN / PSB / PV / PSDB / PSD / PT do B / SD / PROS / PMB,36504,83.37%,Paraná,false
PAULA FREITAS,20,VALDEMAR,PSC/PMDB / PSC / PPS / PSD / PROS,2010,51.83%,Paraná,false
PAULO FRONTIN,45,SEBASTIÃO,PSDB/PSDB / PSC / DEM / PSD,1990,41.92%,Paraná,false
PEABIRU,22,JULIO FRARE,PR/PDT / PSC / PR / PPS / PSB / PEN / PT do B,2958,36.74%,Paraná,false
PEROBAL,20,ALMIR DE ALMEIDA,PSC/PSC / DEM / PR / PP,2295,51.74%,Paraná,false
PÉROLA,45,DARLAN SCALCO,PSDB/PMDB / PSC / PR / PSD / PTB / PSDB / PPS,4747,69.73%,Paraná,false
PÉROLA D'OESTE,20,NILSON,PSC/PSC / PDT / DEM / PMDB,2794,58.09%,Paraná,false
PIÊN,15,LOIR DREVEK,PMDB/PMN / PRP / PT do B / PPS / PRTB / PTB / PR / PSD / PRB / PSL / PTN / PTC / PMDB,4232,50.71%,Paraná,false
PINHAIS,12,MARLY PAULINO,PDT/PDT / PT / PMN / PPS / PROS / PC do B / PSL / PR / PSC / DEM / PRTB / PTC / PV / PRP / PMB / PSB,48005,82.06%,Paraná,false
PINHALÃO,12,SÉRGIO DA AGROPECUÁRIA,PDT/PPS / PDT / PR / PV,1724,36.75%,Paraná,false
PINHAL DE SÃO BENTO,15,JAIME CARNIEL,PMDB/PDT / PT / PTB / PMDB / PR / PPS / DEM / PV,980,47.14%,Paraná,false
PINHÃO,13,ODIR GOTARDO,PT/PRB / PT / PMDB / PC do B,7462,40.01%,Paraná,false
PIRAÍ DO SUL,55,TIM MILLÉO,PSD/PSD / PSDB / PMDB / PSC / PDT / PROS / PMB / PHS / PV / PSB / PTN / PR / PC do B / PT,6926,1%,Paraná,false
PIRAQUARA,12,PROFESSOR MARQUINHOS,PDT/PMB / PSD / SD / PROS / PRB / PSDB / PHS / PDT / REDE / PEN / PSC / PSB,27413,63.16%,Paraná,false
PITANGA,43,DR. MAICOL,PV/PV / PSC / PP / PTN / DEM / PHS / PC do B / SD,11096,54.18%,Paraná,false
PITANGUEIRAS,45,TONINHO KOLACHINSKI,PSDB/PP / PDT / PMDB / PSC / PR / DEM / PSDB / PSD,1321,56.33%,Paraná,false
PLANALTINA DO PARANÁ,15,BONVECHIO,PMDB/PMDB / PTB / PP,1742,60.21%,Paraná,false
PLANALTO,13,INACIO,PT/PT / PSC / PSD,5264,60.13%,Paraná,false
PONTA GROSSA,23,MARCELO RANGEL CRUZ OLIVEIRA,PPS/PPS / PSB / DEM / PSL / PSD / PSDB / PRB / PTB / PROS / PV / PP / PSC,84032,47.68%,Paraná,true
PONTA GROSSA,18,ALIEL MACHADO,REDE/REDE / PTN / PR / PT / PMDB / PTC / PT do B,49611,28.15%,Paraná,true
PONTAL DO PARANÁ,40,MARCOS CASQUINHA,PSB/PSB / PPS / PRP / PP / PDT / PPL,6253,44.72%,Paraná,false
PORECATU,25,FABINHO,DEM/PRB / PTB / PMDB / PPS / DEM / PMN / PSB / PV / PEN / PSD / PT do B,6177,75.82%,Paraná,false
PORTO AMAZONAS,23,ANTONIO POLATO,PPS/PDT / PPS / DEM / PRP / PMDB,1595,51.07%,Paraná,false
PORTO BARREIRO,45,MARINEZ,PSDB/PMDB / DEM / PSDB / PSB / PPS / PSC / PMN / PP / PSD / PV,1391,51.44%,Paraná,false
PORTO RICO,14,EVARISTO,PTB/PTB / PPS / PV / PSC / PDT / PP / PSL / PSD,1198,57.29%,Paraná,false
PORTO VITÓRIA,15,KURT,PMDB/PMDB / PR / PSC / PTB / PSB / PP,1774,63.38%,Paraná,false
PRADO FERREIRA,11,SILVIO,PP/PP / PSC,1707,61.92%,Paraná,false
PRANCHITA,22,ELOIR LANGE,PR/PR / PMDB / DEM / PSDB / PPS,2425,63.48%,Paraná,false
PRESIDENTE CASTELO BRANCO,25,GISELE DO TILERA,DEM/PP / PTB / PSC / DEM / PSDB,1912,54.72%,Paraná,false
PRIMEIRO DE MAIO,45,DANIEL RENZI,PSDB/PMDB / PSB / PSDB / PDT / PPS / PSD,2876,68.89%,Paraná,false
PRUDENTÓPOLIS,45,ADELMO,PSDB/PSD / REDE / PR / PPS / DEM / PMB / PSDB / SD / PROS,9291,31.01%,Paraná,false
QUARTO CENTENÁRIO,45,REINALDO KRACHINSKI,PSDB/DEM / PDT / PP / PT / PTB / PSB / PSD / PR / PMDB / PSC / PSDB / PSL,2127,66.04%,Paraná,false
QUATIGUÁ,45,FERNANDO DA FARMACIA,PSDB/PSDB / DEM / PPS / PROS,1436,52.31%,Paraná,false
QUATRO BARRAS,15,LARA,PMDB/PMDB / PROS / PTB / PC do B / SD,6082,50.61%,Paraná,false
QUATRO PONTES,15,JOÃO LAUFER,PMDB/PMDB / DEM / PP,1590,50.52%,Paraná,false
QUEDAS DO IGUAÇU,90,MARLENE REVERS,PROS/PTN / PTB / PRB / PMN / PPL / PMB / PTC / PROS / PT do B / PSB / PEN / REDE,6204,47.86%,Paraná,false
QUERÊNCIA DO NORTE,15,DRA ROZE,PMDB/PMDB / PT / PP,3138,47.65%,Paraná,false
QUINTA DO SOL,11,JOÃO CLAUDIO,PP/PP / PTB / PT / PMDB / PSL / PSC / PR / DEM / PMN / PV / PEN / PSD / SD,2545,67.99%,Paraná,false
QUITANDINHA,45,MARIA JULIA,PSDB/PSDB / PR / PSB / PSC / SD / PEN / PROS / PSDC / PTN,5269,46.19%,Paraná,false
RAMILÂNDIA,11,BONAMIGO,PP/PPS / PMDB / PMN / PV / PTB / PP / PDT / PT / PSB,1905,62.52%,Paraná,false
RANCHO ALEGRE,15,DONA DARLENE,PMDB/PMDB / PDT / PTB,1486,53.05%,Paraná,false
RANCHO ALEGRE D'OESTE,15,SUELY,PMDB/PMDB / DEM / PSC / PSD / PTB / PP / PPS / PT,1112,50.07%,Paraná,false
REALEZA,13,MILTON ANDREOLLI,PT/PT / PTB / PPS / PMB / PEN,3734,33.9%,Paraná,false
REBOUÇAS,90,LUIZ ZAK,PROS/PROS / PMB / PTC / PTB / PT / PP / PSB / PEN / PC do B / REDE / PSL / SD,5241,53.25%,Paraná,false
RENASCENÇA,20,LESSIR,PSC/PP / PT / PTB / PSC / PR / PPS / DEM / SD,2681,61.9%,Paraná,false
RESERVA,15,NETO,PMDB/PMDB / PP / PSC / PSD / DEM / PSDB / SD / PROS / PDT / PSB,10642,71.01%,Paraná,false
RESERVA DO IGUAÇU,45,EMERSON,PSDB/PRB / PP / PTB / PSL / PTN / PSC / PR / DEM / PSDB / PSB / PSD / SD,2096,1%,Paraná,false
RIBEIRÃO CLARO,20,MÁRIO PEREIRA,PSC/PTB / PMDB / PSL / PSC / PSDB / PSB / PR,3924,49.95%,Paraná,false
RIBEIRÃO DO PINHAL,31,WAGNER,PHS/PHS / PTN,3227,39.1%,Paraná,false
RIO AZUL,45,RODRIGO SOLDA,PSDB/PSDB / PDT / PP / PTB / PHS / SD,3248,35.04%,Paraná,false
RIO BOM,12,ENE,PDT/PT / PDT / PROS / DEM / PMDB,1409,53.98%,Paraná,false
RIO BONITO DO IGUAÇU,31,GAUCHO,PHS/PHS / PPL / PROS / SD / PV / PT / PSC / PPS / PSB / PC do B,4690,54.23%,Paraná,false
RIO BRANCO DO IVAÍ,14,GERONCIO,PTB/PTB / PMN / PTN / DEM / PSL,1231,40.51%,Paraná,false
RIO BRANCO DO SUL,20,GIBRAN JOHNSSON,PSC/PSC / PMDB / PSB / PT / PR / PEN / DEM,8407,39.97%,Paraná,false
RIO NEGRO,45,MILTON PAIZANI,PSDB/PSDB / PTC / PSC / PP / PSL / PROS / PMDB / PMB / SD / PDT / DEM / PV / PR / PTN / PSD / PTB,15084,85.81%,Paraná,false
ROLÂNDIA,45,DOUTOR FRANCISCONI,PSDB/PSDB / PR / DEM / SD / PP / PT do B,22954,70.47%,Paraná,false
RONCADOR,55,ORLANDO DA FONSECA,PSD/PSD / PMDB / PPS / PR / PPL / PSB / PSC,2885,98.67%,Paraná,false
RONDON,90,AILTON VALLOTO,PROS/PROS / PDT / DEM / PPS / PSDB,3450,55.46%,Paraná,false
ROSÁRIO DO IVAÍ,20,KURODA,PSC/PSC / PMDB / PEN / PT / PSD,2126,52.34%,Paraná,false
SABÁUDIA,55,HUGO MANUEIRA,PSD/PMDB / PT / PSC / PR / PSB / PSD / DEM,2523,50.64%,Paraná,false
SALGADO FILHO,15,HELTON - SAÚDE,PMDB/PMDB / PSC / PDT / PT / PTB / REDE / DEM / PSDB / PEN,1635,52.93%,Paraná,false
SALTO DO ITARARÉ,44,PAULINHO,PRP/PRP / PHS,1560,41.18%,Paraná,false
